Time: 1768248974.3003762, Power: 10.0, Energy: 0.0, DeltaCO2: 0.0, TotalCO2: 0.0
Time: 1768248975.3027592, Power: 10.0, Energy: 2.7843972047170007e-06, DeltaCO2: 1.3225886722405752e-06, TotalCO2: 1.3225886722405752e-06
Time: 1768248976.304249, Power: 10.0, Energy: 2.7819163269466827e-06, DeltaCO2: 1.3214102552996743e-06, TotalCO2: 2.6439989275402495e-06
Time: 1768248977.3054795, Power: 10.0, Energy: 2.781195773018731e-06, DeltaCO2: 1.321067992183897e-06, TotalCO2: 3.965066919724147e-06
Time: 1768248978.306882, Power: 10.0, Energy: 2.7816732724507647e-06, DeltaCO2: 1.321294804414113e-06, TotalCO2: 5.28636172413826e-06
Time: 1768248979.3085783, Power: 10.0, Energy: 2.7824898560841875e-06, DeltaCO2: 1.321682681639989e-06, TotalCO2: 6.608044405778249e-06
Time: 1768248980.3097503, Power: 10.0, Energy: 2.781033515930176e-06, DeltaCO2: 1.3209909200668335e-06, TotalCO2: 7.929035325845083e-06
Time: 1768248981.31171, Power: 10.0, Energy: 2.783221006393433e-06, DeltaCO2: 1.3220299780368806e-06, TotalCO2: 9.251065303881963e-06
Time: 1768248982.3129623, Power: 10.0, Energy: 2.7812567022111685e-06, DeltaCO2: 1.321096933550305e-06, TotalCO2: 1.0572162237432267e-05
Time: 1768248983.314306, Power: 10.0, Energy: 2.781510353088379e-06, DeltaCO2: 1.32121741771698e-06, TotalCO2: 1.1893379655149247e-05
Time: 1768248984.315736, Power: 10.0, Energy: 2.781750096215142e-06, DeltaCO2: 1.3213312957021925e-06, TotalCO2: 1.321471095085144e-05
Time: 1768248985.3169181, Power: 10.0, Energy: 2.7810613314310707e-06, DeltaCO2: 1.3210041324297586e-06, TotalCO2: 1.4535715083281197e-05
Time: 1768248986.3182516, Power: 10.0, Energy: 2.7814818753136533e-06, DeltaCO2: 1.3212038907739853e-06, TotalCO2: 1.5856918974055184e-05
Time: 1768248987.3193746, Power: 10.0, Energy: 2.7808970875210236e-06, DeltaCO2: 1.320926116572486e-06, TotalCO2: 1.717784509062767e-05
Time: 1768248988.3208332, Power: 10.0, Energy: 2.7818295690748428e-06, DeltaCO2: 1.3213690453105502e-06, TotalCO2: 1.849921413593822e-05
Time: 1768248989.3223746, Power: 10.0, Energy: 2.7820593780941433e-06, DeltaCO2: 1.321478204594718e-06, TotalCO2: 1.9820692340532937e-05
Time: 1768248990.3240783, Power: 10.0, Energy: 2.7825103865729435e-06, DeltaCO2: 1.3216924336221482e-06, TotalCO2: 2.1142384774155085e-05
Time: 1768248991.325305, Power: 10.0, Energy: 2.7811851766374374e-06, DeltaCO2: 1.3210629589027828e-06, TotalCO2: 2.246344773305787e-05
Time: 1768248992.3262346, Power: 10.0, Energy: 2.780359983444214e-06, DeltaCO2: 1.3206709921360017e-06, TotalCO2: 2.378411872519387e-05
Time: 1768248993.3277678, Power: 10.0, Energy: 2.782036860783895e-06, DeltaCO2: 1.3214675088723502e-06, TotalCO2: 2.510558623406622e-05
Time: 1768248994.32879, Power: 10.0, Energy: 2.780616945690579e-06, DeltaCO2: 1.320793049203025e-06, TotalCO2: 2.6426379283269245e-05
Time: 1768248995.3307374, Power: 10.0, Energy: 2.78318723042806e-06, DeltaCO2: 1.3220139344533284e-06, TotalCO2: 2.7748393217722573e-05
Time: 1768248996.332163, Power: 10.0, Energy: 2.781738175286187e-06, DeltaCO2: 1.3213256332609387e-06, TotalCO2: 2.9069718850983512e-05
Time: 1768248997.3333719, Power: 10.0, Energy: 2.7811355061001246e-06, DeltaCO2: 1.321039365397559e-06, TotalCO2: 3.039075821638107e-05
Time: 1768248998.3346956, Power: 10.0, Energy: 2.781454722086589e-06, DeltaCO2: 1.3211909929911296e-06, TotalCO2: 3.17119492093722e-05
Time: 1768248999.336452, Power: 10.0, Energy: 2.782656749089559e-06, DeltaCO2: 1.3217619558175405e-06, TotalCO2: 3.303371116518974e-05
Time: 1768249000.3375258, Power: 10.0, Energy: 2.780760659111871e-06, DeltaCO2: 1.3208613130781387e-06, TotalCO2: 3.435457247826788e-05
Time: 1768249001.3388457, Power: 10.0, Energy: 2.781444125705295e-06, DeltaCO2: 1.3211859597100151e-06, TotalCO2: 3.5675758437977894e-05
Time: 1768249002.3399148, Power: 10.0, Energy: 2.780747413635254e-06, DeltaCO2: 1.3208550214767454e-06, TotalCO2: 3.699661345945464e-05
Time: 1768249003.3411822, Power: 10.0, Energy: 2.781298425462511e-06, DeltaCO2: 1.3211167520946927e-06, TotalCO2: 3.831773021154933e-05
Time: 1768249004.3430858, Power: 10.0, Energy: 2.7830653720431862e-06, DeltaCO2: 1.3219560517205135e-06, TotalCO2: 3.963968626326984e-05
Time: 1768249005.3443766, Power: 10.0, Energy: 2.781363328297933e-06, DeltaCO2: 1.3211475809415182e-06, TotalCO2: 4.096083384421136e-05
Time: 1768249006.3453805, Power: 10.0, Energy: 2.780566612879435e-06, DeltaCO2: 1.3207691411177315e-06, TotalCO2: 4.228160298532909e-05
Time: 1768249007.346447, Power: 10.0, Energy: 2.780740128623115e-06, DeltaCO2: 1.3208515610959795e-06, TotalCO2: 4.360245454642507e-05
Time: 1768249008.3475943, Power: 10.0, Energy: 2.7809646394517687e-06, DeltaCO2: 1.32095820373959e-06, TotalCO2: 4.492341275016466e-05
Time: 1768249009.34939, Power: 10.0, Energy: 2.7827660242716475e-06, DeltaCO2: 1.3218138615290326e-06, TotalCO2: 4.624522661169369e-05
Time: 1768249010.350435, Power: 10.0, Energy: 2.7806805239783392e-06, DeltaCO2: 1.320823248889711e-06, TotalCO2: 4.756604986058341e-05
Time: 1768249011.3514795, Power: 10.0, Energy: 2.7806791994306777e-06, DeltaCO2: 1.3208226197295718e-06, TotalCO2: 4.888687248031298e-05
Time: 1768249012.3527598, Power: 10.0, Energy: 2.7813341882493757e-06, DeltaCO2: 1.3211337394184534e-06, TotalCO2: 5.020800621973143e-05
Time: 1768249013.354124, Power: 10.0, Energy: 2.7815673086378312e-06, DeltaCO2: 1.3212444716029697e-06, TotalCO2: 5.1529250691334405e-05
Time: 1768249014.3558607, Power: 10.0, Energy: 2.7826017803615996e-06, DeltaCO2: 1.3217358456717597e-06, TotalCO2: 5.2850986537006164e-05
Time: 1768249015.357031, Power: 10.0, Energy: 2.78102888001336e-06, DeltaCO2: 1.320988718006346e-06, TotalCO2: 5.417197525501251e-05
Time: 1768249016.3586261, Power: 10.0, Energy: 2.782208389706082e-06, DeltaCO2: 1.3215489851103888e-06, TotalCO2: 5.54935242401229e-05
Time: 1768249017.3602483, Power: 10.0, Energy: 2.7822838889227975e-06, DeltaCO2: 1.3215848472383288e-06, TotalCO2: 5.681510908736123e-05
Time: 1768249018.36221, Power: 10.0, Energy: 2.7832269668579098e-06, DeltaCO2: 1.322032809257507e-06, TotalCO2: 5.813714189661874e-05
Time: 1768249019.3636847, Power: 10.0, Energy: 2.781873941421509e-06, DeltaCO2: 1.3213901221752167e-06, TotalCO2: 5.9458532018793954e-05
Time: 1768249020.365115, Power: 10.0, Energy: 2.7817507584889727e-06, DeltaCO2: 1.321331610282262e-06, TotalCO2: 6.0779863629076214e-05
Time: 1768249021.3659317, Power: 10.0, Energy: 2.7800467279222277e-06, DeltaCO2: 1.3205221957630581e-06, TotalCO2: 6.210038582483927e-05
Time: 1768249022.3696141, Power: 10.0, Energy: 2.788006597095066e-06, DeltaCO2: 1.3243031336201562e-06, TotalCO2: 6.342468895845942e-05
Time: 1768249023.37059, Power: 10.0, Energy: 2.7804884645673964e-06, DeltaCO2: 1.3207320206695133e-06, TotalCO2: 6.474542097912893e-05
Time: 1768249024.371936, Power: 10.0, Energy: 2.7815169758266875e-06, DeltaCO2: 1.3212205635176766e-06, TotalCO2: 6.606664154264662e-05
Time: 1768249025.3729522, Power: 10.0, Energy: 2.780600388844808e-06, DeltaCO2: 1.3207851847012837e-06, TotalCO2: 6.73874267273479e-05
Time: 1768249026.3749692, Power: 10.0, Energy: 2.7833806143866643e-06, DeltaCO2: 1.3221057918336654e-06, TotalCO2: 6.870953251918156e-05
Time: 1768249027.3762624, Power: 10.0, Energy: 2.7813699510362413e-06, DeltaCO2: 1.3211507267422145e-06, TotalCO2: 7.003068324592378e-05
Time: 1768249028.377717, Power: 10.0, Energy: 2.7818183104197187e-06, DeltaCO2: 1.3213636974493663e-06, TotalCO2: 7.135204694337314e-05
Time: 1768249029.3789227, Power: 10.0, Energy: 2.781126896540324e-06, DeltaCO2: 1.3210352758566539e-06, TotalCO2: 7.26730822192298e-05
Time: 1768249030.3800702, Power: 10.0, Energy: 2.7809653017255997e-06, DeltaCO2: 1.3209585183196599e-06, TotalCO2: 7.399404073754945e-05
Time: 1768249031.381125, Power: 10.0, Energy: 2.7807076772054035e-06, DeltaCO2: 1.3208361466725666e-06, TotalCO2: 7.531487688422202e-05
Time: 1768249032.3827474, Power: 10.0, Energy: 2.782284551196628e-06, DeltaCO2: 1.3215851618183982e-06, TotalCO2: 7.663646204604041e-05
Time: 1768249033.384663, Power: 10.0, Energy: 2.783099148008559e-06, DeltaCO2: 1.3219720953040655e-06, TotalCO2: 7.795843414134448e-05
Time: 1768249034.3855944, Power: 10.0, Energy: 2.7803646193610298e-06, DeltaCO2: 1.320673194196489e-06, TotalCO2: 7.927910733554098e-05
Time: 1768249035.3869333, Power: 10.0, Energy: 2.781497107611762e-06, DeltaCO2: 1.321211126115587e-06, TotalCO2: 8.060031846165656e-05
Time: 1768249036.3881302, Power: 10.0, Energy: 2.781102392408583e-06, DeltaCO2: 1.321023636394077e-06, TotalCO2: 8.192134209805064e-05
Time: 1768249037.3891497, Power: 10.0, Energy: 2.7806096606784395e-06, DeltaCO2: 1.3207895888222588e-06, TotalCO2: 8.32421316868729e-05
Time: 1768249038.3905582, Power: 10.0, Energy: 2.7816904915703665e-06, DeltaCO2: 1.3213029834959241e-06, TotalCO2: 8.456343467036883e-05
Time: 1768249039.3919823, Power: 10.0, Energy: 2.781733539369371e-06, DeltaCO2: 1.3213234312004511e-06, TotalCO2: 8.588475810156928e-05
Time: 1768249040.3929179, Power: 10.0, Energy: 2.780376540289985e-06, DeltaCO2: 1.3206788566377428e-06, TotalCO2: 8.720543695820702e-05
Time: 1768249041.3944228, Power: 10.0, Energy: 2.781958050198025e-06, DeltaCO2: 1.3214300738440619e-06, TotalCO2: 8.852686703205108e-05
Time: 1768249042.3954303, Power: 10.0, Energy: 2.780576546986898e-06, DeltaCO2: 1.3207738598187764e-06, TotalCO2: 8.984764089186986e-05
Time: 1768286375.7529545, Power: 10.0, Energy: 0.0, DeltaCO2: 0.0, TotalCO2: 0.0
Time: 1768286376.7608843, Power: 10.0, Energy: 2.7998050053914386e-06, DeltaCO2: 1.3299073775609333e-06, TotalCO2: 1.3299073775609333e-06
Time: 1768286377.7655904, Power: 10.0, Energy: 2.790850400924683e-06, DeltaCO2: 1.3256539404392243e-06, TotalCO2: 2.6555613180001577e-06
Time: 1768286378.7705832, Power: 10.0, Energy: 2.79164645406935e-06, DeltaCO2: 1.3260320656829411e-06, TotalCO2: 3.9815933836830986e-06
Time: 1768286379.7749083, Power: 10.0, Energy: 2.789792087343004e-06, DeltaCO2: 1.3251512414879269e-06, TotalCO2: 5.306744625171025e-06
Time: 1768286380.7797558, Power: 45.0, Energy: 1.2560594081878662e-05, DeltaCO2: 5.966282188892364e-06, TotalCO2: 1.1273026814063389e-05
Time: 1768286381.7832365, Power: 10.0, Energy: 2.7874463134341768e-06, DeltaCO2: 1.324036998881234e-06, TotalCO2: 1.2597063812944624e-05
Time: 1768286382.7867928, Power: 10.0, Energy: 2.7876562542385528e-06, DeltaCO2: 1.3241367207633126e-06, TotalCO2: 1.3921200533707937e-05
